feature_name,feature_importance_value
fico_range_low,0.24122002951932292
dti,0.1708171094518453
term,0.15219232380357825
loan_amnt,0.1478936898781774
bc_open_to_buy,0.08263609065049131
inq_last_6mths,0.07875682253499468
avg_cur_bal,0.07850020035176598
tot_hi_cred_lim,0.07816682666077257
mort_acc,0.06649725960525153
num_actv_rev_tl,0.0508775472372949
mths_since_recent_bc,0.04898873380661336
annual_inc,0.032647701121703086
total_bc_limit,0.025718366706187896
revol_util,0.024487739779164464
mo_sin_old_rev_tl_op,0.021481952030493606
total_rev_hi_lim,0.020516749951257258
bc_util,0.017106931275283385
mo_sin_old_il_acct,0.01198318422197548
num_il_tl,0.010977830729586581
total_acc,0.007447223153840674
mths_since_earliest_cr_line,0.003157665357846895
